Agency,ContactEmail,ContactName,ContactPhone,CustomId,ProjectNumber,ProjectType,additional_information,award_description,awarded_to,contract_amount,published_date,sub_contract_award
"Warren, Town of Board of SelectmenP.O. Box 609Warren, MA 01083",Notify email address listed when final publish date assigned.,Christopher J. Dunphy,413-781-6045,CAN3/21/20123/31/201200051, ,Designer Services , ,Pleasant/Highland Street Improvements:  Full site survey; site base plan development; identification of any and all required easements; preliminary design plans; final design plans and specifications; permitting; opinion of probable construction costs.,"Lenard Engineering, Inc.19 Midstate Drive Suite 200Auburn, MA 01501","$49,773", 3/28/2012, 
"West Springfield, Town ofHousing Authority37 Oxford PlaceWest Springfield, MA 01089",Do not notify email address listed when final publish date assigned.,"Willie J Thomas, Executive Director",413-788-0998,CAN3/21/20123/31/201200052,Work Plan 309025001,General Contract , ,Oxford Place 667-3 VAT Flooring Replacement Hallways.,"Garland Construction Co.40 Old James St. #1Chicopee, MA 01020","$54,200", 3/28/2012, 
"Westfield, City of 59 Court St.Westfield, MA  01085",Notify email address listed when final publish date assigned.,Tammy Tefft,413-572-6254,CAN3/21/20123/31/201200053,2333,General Contract , ,Columbia Greenway Bike Trail.,"Mass-West Construction, Inc.50 West State St.Granby, MA  01033","$1,288,876", 3/28/2012, 
"Westfield, City of 59 Court St.Westfield, MA  01085",Notify email address listed when final publish date assigned.,Tammy Tefft,413-572-6254,CAN3/21/20123/31/201200054,2322,General Contract , ,MSBA Boiler Replacement Project at five schools.,"N.B. Kenny Co., Inc.68 Barnum Rd.Devens, MA  01434","$2,592,000", 3/28/2012,Electrical:  Icon West.  Plumbing:  N.B. Kenny Co.
"Westfield, City of 59 Court St.Westfield, MA  01085",Notify email address listed when final publish date assigned.,Tammy Tefft,413-572-6254,CAN3/21/20123/31/201200055,2323,General Contract , ,Roof and Window Project at the Vocational High School.,"P.D.S. Engineering & Construction, Inc.107 Old Windsor Rd.Bloomfield, CT  06002","$6,603,950", 3/28/2012,"Allied Restoration, Roofing; Sullivan & Narey, Masonry; S.M.J. Metals, Metal Fabrications; Superior Caulking, Joint Sealants."
"Westport, Town ofCommunity Schools17 Main Rd.Westport, MA 02790",Do not notify email address listed when final publish date assigned.,Larry Borins,617-445-3555,CAN3/21/20123/31/201200056,WHS-01,General Contract , ,Westport High School Partial Roof Replacement Project.,"S.O.M. Construction Enterprise 46 Flaxfield Rd.Dudley, MA  01571","$1,242,000", 3/28/2012,"Masonry:  S.O.M. Construction Enterprise, 46 Flaxfield Rd., Dudley, MA 01571."
"Westport, Town ofCommunity SchoolsAdministrative Office17 Main Rd.Westport, MA 02790",Do not notify email address listed when final publish date assigned.,Larry Borins,617-445-3555,CAN3/21/20123/31/201200057,WMAC-01,General Contract , ,Westport Macomber Elementary School roof replacement project.,"Capeway Roofing Systems, Inc.664 Sanford Rd.Westport, MA 02790","$395,800", 3/28/2012, 
"Acton, Town of472 Main St.Acton, MA 01720",Notify email address listed when final publish date assigned.,Russell Robinson Highway Superintendent,978-929-7740,CAN4/1/20124/10/201200000,#3/15/12 - 006,General Contract , ,Cold Planing Asphalt Road Surfaces.,"Brox Industries, Inc.1471 Methuen St.Dracut, MA 01826",$1.73/Ton, 4/4/2012, 
"Acton, Town of 472 Main St.Acton, MA 01720",Notify email address listed when final publish date assigned.,"Russell Robinson, Highway Superintendent",978-929-7740,CAN4/1/20124/10/201200001,#3/15/12 - 005,General Contract , ,"Bituminous Concrete, Furnish and Furnish and Place:  (A) Roadways and Large Paving Projects, Furnish and Place; (B) Sidewalks, DW Aprons, Small Parking Lots and Minor Paving Projects, Furnish and Place; (C) Furnish Bituminous Concrete Driveway Mix and/or Bituminous Concrete Binder Mix at the Plant; (D) Furnish and Place Bituminous Concrete Berm Mix; (E) Furnish Bituminous Concrete Berm Mix at the Plant.","(A) Mass Broken Stone Co., 2077 Main St., Holden, MA 01520; (B) and (D) Lazaro Paving Corp., 800 Mount Laurel Circle, Shirley, MA 01464; (C) and (E) E.H. Perkins, Inc., 560 Main St., Hudson, MA 01749.", , 4/4/2012, 
"Acton, Town of 472 Main St.Acton, MA 01720",Notify email address listed when final publish date assigned.,"Russell Robinson, Highway Superintendent",978-929-7740,CAN4/1/20124/10/201200002,#03/15/12 - 007,General Contract , ,"Drainage Structures, Raise and Repair.","Alonso Construction, Inc.134 Crawford St.Fitchburg, MA  01420", , 4/4/2012, 
"Acton, Town of 472 Main St.Acton, MA 01720",Notify email address listed when final publish date assigned.,Russell Robinson Highway Superintendent,978-929-7740,CAN4/1/20124/10/201200003,#3/15/12 - 008,General Contract , ,Guardrails and Chain Link Fencing:  Remove and Reset/Furnish and Install As Needed.,"Total Highway Services, Inc.285 Salem St.Woburn, MA 01801", , 4/4/2012, 
"Barnstable, Town ofHousing Authority146 South St.Hyannis, MA  02601",Notify email address listed when final publish date assigned.,Sandra Perry,508-771-7222,CAN4/1/20124/10/201200004,705WINDOWS,General Contract , ,"Remove and dispose of 80 windows, sashes, and balances from seven scattered site occupied family homes within the Town of Barnstable.  Supply and install replacement windows in same scattered site homes.  Windows should be Stergis Belmont double hung replacement windows, Low E glass with grates and full screens.","William J. Fogarty, General ContractorOsterville, MA  02655","$18,500", 4/4/2012, 
"Barnstable, Town ofHousing Authority146 South St.Hyannis, MA  02601",Notify email address listed when final publish date assigned.,Sandra Perry,508-771-7222,CAN4/1/20124/10/201200005,154RACE689,General Contract , ,"Remove and dispose of discolored and damaged vinyl in entryway, office, kitchen/dining area, four bedrooms in occupied handicapped accessible building. Supply and install new VCT on concrete slab in same areas.","Rufo ConstructionP.O. Box 648West Hyannisport, MA  02672","$9,400", 4/4/2012, 
"Barnstable, Town ofHousing Authority146 South St.Hyannis, MA  02601",Notify email address listed when final publish date assigned.,Sandra Perry,508-771-7222,CAN4/1/20124/10/201200006,30PINEEL6673,General Contract , ,"Remove and replace 400 amp service entrance from pole to main panel in basement including cables, meter box, main disconnect switch.  Basement access only.  Building is occupied.","Cayton Electrical Services251 Davis Rd.Westport, MA  02790","$10,381", 4/4/2012, 
"Barnstable, Town of 230 South St.Hyannis, MA 02601",Do not notify email address listed when final publish date assigned.,Johanna Boucher, ,CAN4/1/20124/10/201200007, ,General Contract , ,Aselton Lighting Improvement Project.,"Brite Lite Electrical Co.11 Front St.Weymouth, MA 02188","$115,221.25", 4/4/2012, 
"Bridgewater State UniversityPurchasing OfficeBoyden Hall Room 202Bridgewater, MA 02325",Do not notify email address listed when final publish date assigned.,Diane Chagnon,508-531-2213,CAN4/1/20124/10/201200008,FMP-12-101(A) RFB No. 19,General Contract , ,"Work consists of approximately 1,500 square feet of exterior masonry cutting, 100% repointing and sealing of building's brick facade and one chimney, installation of new through wall flashing at the base of the facade and patching of existing Sarnafil roofing system and removal/installation of slate shingles at the intersection of hip roofs.  Boyden Hall is located at 131 Summer St., Bridgewater.","Vareika Construction, Inc.219 Walnut St. Suite BWest Bridgewater, MA 02379","$113,300,00", 4/4/2012, 
"Bristol Community College777 Elsbree St.Fall River, MA 02720",Notify email address listed when final publish date assigned.,Philicia Pacheco,508-678-2811,CAN4/1/20124/10/201200009,M-16-12,Designer Services , ,Installation of an emergency generator (125kw).,"Fall River Electrical Associates Co., Inc.74 Corneau St.Fall River, MA 02721","$93,400", 4/4/2012, 
"Cambridge, City of Purchasing Department795 Massachusetts Ave.Cambridge, MA 02139",Notify email address listed when final publish date assigned.,Cynthia H. Griffin,617-349-4310,CAN4/1/20124/10/201200010,5733A,General Contract , ,HVAC Replacement and Repair Services to Chiller Bundle (Condenser Bundle) at Baldwin School.,"Lemar HVAC, Inc.12 Westover DriveLynnfield, MA 01940","$98,300.00", 4/4/2012, 
"Franklin County Regional Housing and Redevelopment Authority42 Canal Rd.Turners Falls, MA 01376",Notify email address listed when final publish date assigned.,Bruce Hunter,413-863-9781 ext. 133,CAN4/1/20124/10/201200011,Fy 2008 R,General Contract , ,"Stratton Manor Public Housing Modernization, Bernardston:  Roof, Windows, Siding and Painting.","Diversified Construction Services, LLC100 University DriveAmherst, MA 01002","$260,212", 4/4/2012,"Fox Painting Co., P.O. Roofing, LLC."
"Lexington, Town ofHousing AuthorityOne Countryside VillageLexington, MA 02420",Do not notify email address listed when final publish date assigned.,Steve Keane,781-861-0900,CAN4/1/20124/10/201200012,DHCD Project 155021,General Contract , ,ADA Improvements to Two Housing Authority Community Buildings.,"Vareika Construction Corp.219 Walnut St. #1  West Bridgewater, MA 02379","$193,700.00", 4/4/2012,"Plumbing, P.J. Dionne, $17,000; Electric, Laracy, $15,900; Elevators, Eagle Elevator, $25,500."
"Lynn, City ofHousing Authority10 Church St.Lynn, MA  01902",Notify email address listed when final publish date assigned.,Tim Leonard,339-883-2620,CAN4/1/20124/10/201200013,163053,General Contract , ,"Installation of Backflow Preventers, Caggiano Plaza and McGee House.","Brackett & Associates12 Grant St.Peabody, MA  01960","$19,000.00", 4/4/2012, 
"Lynn, City ofHousing Authority10 Church St.Lynn, MA  01902",Notify email address listed when final publish date assigned.,Tim Leonard,339-883-2620,CAN4/1/20124/10/201200014,163052,General Contract , ,"Low Slope Roof Replacement at Lynn 705-1A Veteran's Family Housing, 72 Neptune St., Lynn.","One Way Painting & Roofing44 Springvale Ave.Lynn, MA  01904","$28,750.00", 4/4/2012, 
"Montague, Town of 1 Avenue ATurners Falls, MA 01376",Notify email address listed when final publish date assigned.,Bruce Hunter,413-863-9781 ext. 133,CAN4/1/20124/10/201200015,Unity Park Phase One,General Contract ,,"The Project consists of rehabilitation of an existing playground to include new structures and surfaces, construction of a new parking lot and walkways, installation of new benches and universal access picnic table and new plantings, including Alternate 1:  Pave additional parking area with bituminous concrete and Alternate 2:  Extra playground equipment (six extra pieces).","Mass-West Construction, Inc.50 West State St.Granby, MA 01033","$592,000 (Awarded alternates 1 and 2 only)", 4/4/2012, 
"Norfolk County614 High St.Dedham, MA 02026",Do not notify email address listed when final publish date assigned.,Nancy McNealy,781-461-6139,CAN4/1/20124/10/201200016, ,General Contract , ,New Construction and Renovations for the Norfolk County Agricultural High School.,"T.L.T. ConstructionOne Pope St.Wakefield, MA 01880","$21,411,592 (Includes Alternates 1 through 7)", 4/4/2012,"Costa Brothers Masonry, $1,067,000; United Steel, $421,000; Folan Waterproofing, $261,000; Silktown Roofing, $948,000; Aluminum & Glass, $60,780; West Floor Covering (Tile), $97,708; Central Ceilings, $135,683; West Floor Covering (Resilient Floors), $135,683; New Generation Painting, $217,400; South Shore Elevators, $108,660; Harold Brothers, $1,405,000; P.J. Kennedy & Sons, $2,830,000; Richard T. Losordo, $2,680,000."
"Orleans, Town of Town Administrator's Office19 School Rd.Orleans, MA 02653",Notify email address listed when final publish date assigned.,Town Administrator's Office,508-240-3700 ext. 415,CAN4/1/20124/10/201200017,RH Fuel Dispensers,General Contract , ,The Orleans Town Administrator will receive sealed bids for the removal of two existing fuel dispensers and the purchase and installation of two new fuel dispensers at the municipal marina at Rock Harbor in Orleans.,"Dependable Service Co., Inc.d/b/a Dependable Petroleum ServiceOne Roberts Rd.Plymouth, MA 02360","$12,770", 4/4/2012, 
"Pioneer Valley Transit AuthorityOffice of the Manager of Purchasing and Procurement2808 Main St.Springfield, MA  01107",Notify email address listed when final publish date assigned.,John D. MacMillan,413-786-9600,CAN4/1/20124/10/201200018,IFB #12-001,General Contract , ,PVTA Springfield Transit Garage and UMass Transit Facility Skylight Replacement.,"Morris Roofing & Sheet Metal Corp.142 Hancock St.Springfield, MA  01109","$574,000.00", 4/4/2012, 
"Plainville, Town of Board of Water and Sewer Commissioners171 East Bacon St.Plainville, MA 02762",Notify email address listed when final publish date assigned.,Robert Chapell,781-251-0200,CAN4/1/20124/10/201200019,224837,General Contract , ,Turnpike Lake Well Water Treatment Facility Pressure Filter Rehabilitation.,"Waterline Industries Corp.7 London LaneSeabrook, NH 03874","$148,465", 4/4/2012, 
"Port Authority, Massachusetts Capital Programs DepartmentOne Harborside DriveEast Boston, MA 02128",Notify email address listed when final publish date assigned.,Chris Hanlon,617-568-5950,CAN4/1/20124/10/201200020,L1175-C1,General Contract , ,"Economy Parking Garage Snow Melting Facilities at Logan International Airport, East Boston.","Page Building Construction Co., Inc.135 Old Page St. Unit 4Stoughton, MA 02072","$1,913,300", 4/4/2012, 
"Springfield Technical Community CollegePO Box 9000One Armory SquareSpringfield, MA 01102-9000",Notify email address listed when final publish date assigned.,Margaret Solitario,413-755-4700,CAN4/1/20124/10/201200021,2012-12,General Contract , ,Various repairs to the college fire sprinkler systems to assure code compliance.,"Fire Protection Testing, Inc.1701 Highland Ave.Cheshire, CT 06410","$45,627.00", 4/4/2012, 
"Springfield, City ofHousing Authority25 Saab CourtSpringfield, MA  01101",Do not notify email address listed when final publish date assigned.,John Healy,413-785-4561,CAN4/1/20124/10/201200022, ,General Contract , ,HVAC at Sullivan Community Room.,"R.A.C. Builders12 School St.Agawam, MA 01001-3207","$69,560.00", 4/4/2012, 
"Springfield, City ofHousing Authority25 Saab CourtSpringfield, MA  01101",Notify email address listed when final publish date assigned.,John Healy,413-785-4561,CAN4/1/20124/10/201200023,Architect #051013,General Contract , ,Interior Repairs at Central Elderly and Pine-Renee sites.,"N.L. Construction Inc.545 West St.Ludlow, MA  01056","$337,600.00", 4/4/2012, 
"University of Massachusetts - Amherst140 Hicks WayAmherst, MA 01003",Notify email address listed when final publish date assigned.,Peter Royer Associate Director of Procurement,413-545-0361,CAN4/1/20124/10/201200024,UMA12/25,General Contract , ,"Southwest Highrise Dryer Exhaust, Kennedy.","Five Star Building Corp.17 East St.Easthampton, MA 01027","$604,000.00", 4/4/2012,"Cat 040001, 042000 Masonry, Sullivan & Narey, $59,809; Cat 090002 Tile, Ayotte & King, $43,930; Cat 220001 Plumbing, Royal Steam Heater, $67,460; Cat 230001 HVAC, Royal Steam Heater, $73,300; Cat 260001 Electrical, Icon West Corp., $63,280."
"Wareham, Town of 54 Marion Rd.Wareham, MA 02571",Notify email address listed when final publish date assigned.,Deborah Correia,508-295-5300,CAN4/1/20124/10/201200025, ,General Contract , ,Exterior Painting of the Wareham Memorial Town Hall.,"B.S.A. Painting, Inc.27 Park St.Arlington, MA 02474","$51,371.00", 4/4/2012, 
"Westfield, City of 59 Court St.Westfield, MA  01085",Notify email address listed when final publish date assigned.,Tammy Tefft,413-572-6254,CAN4/1/20124/10/201200026,2334,General Contract , ,Outdoor Equipment Wash Rack at Sackett St. Garage.,"Saltmarsh Industries, Inc.1430 Main Rd.Granville, MA  01034","$18,500", 4/4/2012, 
"Boston, City ofPublic Facilities Department26 Court St. Boston, MA 02108",Do not notify email address listed when final publish date assigned.,Ken MacDonald,617-635-4809,CAN4/11/20124/20/201200000, ,General Contract , ,American Legion Playground Demolition.,"Fleming Brothers, Inc.106 Columbia St.Quincy, MA 02169","$258,550.00", 4/11/2012, 
"Boston, City of Public Facilities Department26 Court St. Boston, MA 02108",Do not notify email address listed when final publish date assigned.,Ken MacDonald,617-635-4809,CAN4/11/20124/20/201200001, ,General Contract , ,Boston City Hall Accessible Route.,"Tasco Construction, Inc.92 Stony Brook Rd.Belmont, MA 02478","$312,000.00", 4/11/2012, 
"Boston, City of Public Facilities Department26 Court St. 10th FloorBoston, MA 02108",Do not notify email address listed when final publish date assigned.,Thomas Leahy,617-635-3408,CAN4/11/20124/20/201200002,6986,General Contract , ,Construction of a new municipal office facility in Dudley Square.,"Shawmut Design & Construction560 Harrison Ave.Boston, MA 02118","$229,483.00", 4/11/2012, 
"Boston, City of Public Facilities Department 26 Court St.Boston, MA 02108",Do not notify email address listed when final publish date assigned.,Ken MacDonald,617-635-4809,CAN4/11/20124/20/201200003,6976,General Contract , ,HVAC Replacement at Charlestown Branch Library.,"Hall Sheet Metal Works, Inc.11 River St. Suite #1Middleton, MA 01949","$448,919.00", 4/11/2012, 
"Bridgewater State UniversityPurchasing OfficeBoyden Hall Room 202Bridgewater, MA 02325",Do not notify email address listed when final publish date assigned.,Diane Chagnon,508-531-2213,CAN4/11/20124/20/201200004,FMP-12-120 RFB No. 20,General Contract , ,"East Campus Commons Dining Facility Carpeting Improvements:  Furnish and install specified carpet and flooring materials.  East Campus Commons is located at 125 Burrill Ave., Bridgewater.","E-Floor, Inc.1200 East St.Westwood, MA 02090","$69,202.00", 4/11/2012, 
"Bristol Community College777 Elsbree St.Fall River, MA 02720",Notify email address listed when final publish date assigned.,Philicia Pacheco,508-678-2811,CAN4/11/20124/20/201200005,M-25-12,General Contract , ,"Vertical Wheelchair Lift, H Building.","Collins Construction Co., Inc.33 Swindells St.Fall River, MA 02723","$35,430.00", 4/11/2012, 
"Greenfield, Town of Department of Public Works14 Court SquareGreenfield, MA 01301",Do not notify email address listed when final publish date assigned.,Alan Twarog,413-772-1528 ext. 104,CAN4/11/20124/20/201200006,12-3,General Contract , ,"Cured-in-place sewer lining (Inversion Method) of approximately 1,235 linear feet of six-, eight- and ten-inch vitrified clay gravity sewer and appurtenant work.","Reynolds Inliner, LLC195A Norridgewock Rd.Fairfield, ME 04937","$58,590.57", 4/11/2012, 
"Hanson, Town ofHousing Authority80 Meetinghouse LaneHanson, MA 02341",Do not notify email address listed when final publish date assigned.,Karen Reilly,781-293-7474,CAN4/11/20124/20/201200007,667-1,General Contract , ,"Removal and dispose of a33K Generator and the installation of a new 33k Generator located at 80 Meetinghouse Lane, Hanson.","Highland Power Corp.86 Intervale St.Brockton, MA 02301","$17,820.00", 4/11/2012, 
"Lincoln, Town of Board of Selectmen16 Lincoln Rd.Lincoln, MA 01773",Notify email address listed when final publish date assigned.,Richard Thuma,781-223-7450,CAN4/11/20124/20/201200008,1105.00,General Contract , ,Lincoln Town Offices Renovation Project.,"Colantonio, Inc.16 Everett St.Holliston, MA 01746","$5,491,000", 4/11/2012,"Masonry, Cenedella Masonry; Miscellaneous Metals, V. & G. Iron Works; Waterproofing, Damproofing and Caulking, Folan Waterproofing & Construction; Roofing and Flashing, Stanley Roofing Co.; Tile, Allegheny Contract Flooring; Resilient Flooring, West Coast Flooring; Painting, Soep Painting Corp.; A.C.T., Acoustek Inc.;  Plumbing, Araujo Brothers; HVAC, Monahan Technologies; Electrical, Wayne J. Griffin Electric, Inc.  (Glass and Glazing and Elevators are being re-bid.)"
"Lynn, City ofPurchasing Department3 City Hall Square Room 205Lynn, MA 01901",Notify email address listed when final publish date assigned.,Charles E.White,781-586-6893,CAN4/11/20124/20/201200009, ,General Contract , ,Revised High Rock Reservation Vehicular and Site Improvements (2012).,"Sequoia Construction, Inc.10 Buckley Ave. Unit 9Whitman, MA 02382","$649,490.00", 4/11/2012, 
"Sandwich, Town of 130 Main St.Sandwich, MA 02563",Notify email address listed when final publish date assigned.,Samuel Jensen,508-833-8000,CAN4/11/20124/20/201200010, ,General Contract , ,Oak Crest Cove and Sandwich Transfer Station Improvements.,"Dandel Construction, Inc.365 Concord St.Rockland, MA 02370","$51,805.00", 4/11/2012, 
"Sandwich, Town of 130 Main St.Sandwich, MA 02563",Notify email address listed when final publish date assigned.,Samuel Jensen,508-833-8000,CAN4/11/20124/20/201200011, ,General Contract , ,Sandwich Marina Parking Improvements.,"Hugo Key & Sons51 America's Cup Ave.Newport, RI 02840","$154,090.00", 4/11/2012, 
"Springfield Technical Community CollegeP.O. Box 9000One Armory SquareSpringfield, MA 01102-9000",Do not notify email address listed when final publish date assigned.,Margaret Solitario,413-755-4700,CAN4/11/20124/20/201200012,2012-07,General Contract , ,"Excavation and removal or existing materials. Construction of new lot including grading, storm drainage, bituminous paving and possible fencing.","Gagliarducci Construction, Inc.295 Pasco Rd.Springfield, MA 01151","$493,000.00", 4/11/2012, 
"Templeton, Town of Selectmen's OfficeP.O. Box 250690 Patriots Rd.Templeton, MA 01468",Notify email address listed when final publish date assigned.,"Eileen Clarkson,Director Council on Aging",978-632-4592,CAN4/11/20124/20/201200013, ,General Contract , ,"The Town of Templeton is seeking bids for furnishing material and labor necessary to install structural framing members and their connections, base plates, bearing plates and anchor bolts for concrete work for the new Senior Center on Bridge St., Baldwinville.","D.C. Welding, Inc.195 Meadowcroft St.Lowell, MA  01852","$30,158.00", 4/11/2012, 
"University of Massachusetts - Amherst140 Hicks WayAmherst, MA 01003",Notify email address listed when final publish date assigned.,"Peter Royer, Associate Director of Procurement",413-545-0361,CAN4/11/20124/20/201200014,Uma12-19,General Contract , ,Grayson and Field Window Replacement.,"G.V.W., Inc.1200 Bennington St,East Boston, MA 02128","$7,619,129.00", 4/11/2012,"Cat 04200 Masonry:  G.V.W., Inc., $900,000.  Cat 070000 Waterproofing:  Allowance, $750,000.  Cat 080000 Metal Windows:  G.V.W., Inc., $1,600,000.  Cat 096500 Resilient Flooring:  G.V.W., Inc., $60,000.  Cat 099000 Painting:  G.V.W., Inc., $60,000.  Cat Plumbing:  Corcoran Plumbing & Heating, Inc., $45,529.  Cat 230000 HVAC:  Climate Heating & Cooling, Inc., $175,800.  Cat 260000 Electrical:  Goodless Electric, Inc., $204,800."
"University of Massachusetts - BostonProcurement Department100 Morrissey BoulevardBoston, MA  02125",Notify email address listed when final publish date assigned.,Martha Kelly,617-287-5190,CAN4/11/20124/20/201200015,CB12-MK-0027,General Contract , ,Health Services Suite Modification.,"Coulter Construction27 Parker St.Billerica, MA 01821 ","$19,065", 4/11/2012, 
"Barnstable CountyOffice of the Sheriff6000 Sheriff's PlaceBourne, MA 02532",Do not notify email address listed when final publish date assigned.,"Dan Harrington, Facilities Manager", ,CAN4/11/20124/20/201200016,#BCCF2011,Designer Services , ,"Barnstable County Sheriff's Office Study and Design for Various Repairs (DSB List #10-06, Item #1) (House Doctor).","Edward Rowse Architects, Inc.115 Cedar St.Providence, RI 02903","$500,000.", 4/18/2012, 
"Boston, City ofHousing Authority52 Chauncy St.Boston, MA 02111",Do not notify email address listed when final publish date assigned.,Dan Casals, ,CAN4/11/20124/20/201200017,0096-06,General Contract , ,Tenant Fit-Up and North Wing Housing at 125 Amory St.,"Thomas Construction Co.2 Waumbeck St.Dorchester, MA 02124","$1,460,000.00", 4/18/2012,"Masonry, D. & S. Masonry, $24,400; Resilient Flooring, Capital Carpet, $85,373; Acoustical Ceiling, Central Ceiling, $39,000; Painting, Homer Contracting, $83,350; Plumbing, Richman Corp., $158,700; HVAC, P.J. Dionne, $64,900; Electrical, C.D.S. Contracting, $234,000."
"Bridgewater State UniversityOffice of Facilities Management and Planning200 Great Hill DriveBridgewater, MA 02325",Do not notify email address listed when final publish date assigned.,"Karen W. Jason, Associate Vice President", ,CAN4/11/20124/20/201200018,BSU HD1201,Designer Services , ,"Study and Design for Building Renovations, Repairs and Upgrades at Bridgewater State University, Bridgewater (DSB List #11-12, Item #4) (House Doctor).","Turowski2 Architecture, Inc.313 Wareham Rd.Marion, MA 02738","$500,000.", 4/18/2012, 
"Brookline, Town ofHousing Authority90 Longwood Ave.Brookline, MA 02446",Notify email address listed when final publish date assigned.,Carolyn Correnti,617-731-9551,CAN4/11/20124/20/201200019, ,General Contract , ,Elevator Modernization and Maintenance.,"Associated Elevator Companies, Inc.P.O. Box 500South Yarmouth, MA 02664","$299,884", 4/18/2012, 
"Brookline, Town ofHousing Authority90 Longwood Ave.Brookline, MA 02446",Notify email address listed when final publish date assigned.,Carolyn Correnti,617-731-9551,CAN4/11/20124/20/201200020, ,General Contract , ,"Sussman House Apartments, HP Accessible Units, Phase II.","Casby Brothers. Inc.197 Gardner St.West Roxbury, MA 02132","$188,500", 4/18/2012,"Riverdale Plumbing & Heating, Inc.35 Merchants DriveWalpole, MA 02081"
"Chicopee, City ofHousing Authority128 Meetinghouse Rd.Chicopee, MA 01013",Do not notify email address listed when final publish date assigned.,Robert Kachinski,413-594-3605,CAN4/11/20124/20/201200021,061048,Designer Services , ,Design for Robinson 667-1 and Grocki 667-1A roof replacement.,"Timothy Murphy Architects380 High St.Holyoke, MA 01040","$40,000", 4/18/2012, 
"Fitchburg State University160 Pearl St.Fitchburg, MA 01420",Do not notify email address listed when final publish date assigned.,"Eric Hansen, Director Capital Planning",978-665-4095,CAN4/11/20124/20/201200022, ,General Contract , ,Electrified Entrance at McKay School.,"Builders Systems, Inc.135 Southbridge St.Auburn, MA 01501","$30,688.00", 4/18/2012, 
"Fitchburg State University160 Pearl St.Fitchburg, MA 01420",Do not notify email address listed when final publish date assigned.,"Heide MEssing, Project Manager",978-665-3681,CAN4/11/20124/20/201200023,Proj# C1206 Bid # F106-12,General Contract , ,Window Replacement at Sanders Administration Building.,"D. Wayne Contracting397 Redemption Rock TrailSterling, MA 01564","$39,131", 4/18/2012, 
"Framingham, Town of Department of Public Works110 Western Ave.Framingham, MA 01702",Do not notify email address listed when final publish date assigned.,Amy L. Putney,508-532-6040,CAN4/11/20124/20/201200024,PW-221,General Contract , ,"The Town of Framingham Department of Public Works invites sealed bids for on-call services related to the repair and/or installation of water mains, valves, hydrants, service connections, sewers, drainage piping, roadway utility patching and trench restoration.","Russo Brothers, Inc.222 Walnut St.Framingham, MA 01701","$1,906.87", 4/18/2012, 
"Framingham, Town of Department of Public Works110 Western Ave.Framingham, MA 01702",Do not notify email address listed when final publish date assigned.,Amy L. Putney,508-532-6040,CAN4/11/20124/20/201200025,PW-217,General Contract , ,"The Town of Framingham Department of Public Works invites sealed bids for water and sewer system improvement work in two residential areas located in the northeast and west areas of the Town.  This project consists of the installation of approximately 3,500 linear feet of sanitary sewer with diameters ranging between eight-inch and 12-inch, 3,100 linear feet of six-inch and eight-inch DI CL52 water main, demolition of the Lakeview and Vaillencourt sewer pumping stations and removal and/or abandonment of associated force main.  Approximately 600 linear feet of eight-inch diameter PVC sewer pipe is to be installed in a new sewer trench at a depth greater than 20 feet.","Fed Corp.1039 East St.Dedham, MA 02026","$1,651,990.75", 4/18/2012, 
"Framingham, Town of Department of Public Works110 Western Ave.Framingham, MA 01702",Do not notify email address listed when final publish date assigned.,Amy L. Putney,508-532-6040,CAN4/11/20124/20/201200026, ,General Contract , ,The Town of Framingham Department of Public Works invites sealed bids to Replace and Install Overhead Doors at the Town of Framingham’s Department of Public Works Facility.,"Door Systems, Inc.120 Alexander St.Framingham, MA 01702","$27,310", 4/18/2012, 
"Framingham, Town of Department of Public Works110 Western Ave.Framingham, MA 01702",Do not notify email address listed when final publish date assigned.,Amy L. Putney,508-532-6040,CAN4/11/20124/20/201200027,PW-220,General Contract , ,"The Town of Framingham invites proposals from qualified firms to provide repairs, maintenance and installation of the electrical and telecommunications infrastructure in designated buildings operated by the Department of Public Works.","Cushing Electric57 Oakvale Rd.Framingham, MA 01701",TBD, 4/18/2012, 
"Hampden, Town ofHousing Authority26 Springmeadow LaneHampden, MA 01036",Notify email address listed when final publish date assigned.,Christine Evans,413-566-8157,CAN4/11/20124/20/201200028,DHCD FISH 120009,General Contract , ,"Paving work, including sidewalks.","J.L. Construction Corp.P.O. Box 760West Springfield, MA 01090","$131,600.", 4/18/2012, 
"Holyoke, City ofHousing Authority475 Maple St.Holyoke, MA  01040",Notify email address listed when final publish date assigned.,Janara Healy,413-539-2217,CAN4/11/20124/20/201200029, ,Designer Services , ,"American with Disabilities Act (ADA) Compliance Renovations of three apartments at Falcetti Towers, prepared by James Bright Architect.","Inglewood Development Corp.123 Dwight Rd.Longmeadow, MA  01106","$151,350", 4/18/2012, 
"Lowell, City ofRegional Water Utility815 Pawtucket BoulevardLowell, MA 01854",Notify email address listed when final publish date assigned.,Rachel Gilbert,978-557-8150,CAN4/11/20124/20/201200030,DWSRF 3531 Contract 1,General Contract , ,Water Treatment Facility Photovoltaic System Installation.,"Waterline Industries, Corp.7 London LaneSeabrook, NH 03874","$1,597,787", 4/18/2012, 
